unique_name,strongs,founder,people_group,latitude,lat,longitude,long,bcv_id
Beth-nimrah@Num.32.36,H1039,,,31.900811,31.9,35.625693,35.6,num.32.36
Beth-pazzez@Jos.19.21,H1048,,,32.46349905885267,32.4,35.3036831926058,35.3,jos.19.21
Beth-pelet@Jos.15.27,H1046,,,31.215418,31.2,34.942986,34.9,jos.15.27
Beth-peor@Deu.3.29,H1047,,,31.656099,31.6,35.711870,35.7,deu.3.29
Bethphage@Mat.21.1,G0967,,,31.79038300543012,31.7,35.25667232374259,35.2,mat.21.1
Beth-rehob@Jdg.18.28,H1050,,,33.219354,33.2,35.544122,35.5,jdg.18.28
Bethsaida@Mat.11.21,G0966,,,32.90784828392077,32.9,35.62697295608815,35.6,mat.11.21
Beth-shan@1Sa.31.10,H1052,,,32.5042384550589,32.5,35.50307739108582,35.5,1sa.31.10
Beth-shemesh@Jos.15.10,H1053G,,,31.75274835811488,31.7,34.97660913147738,34.9,jos.15.10
Beth-shemesh@Jos.19.22,H1053H,,,32.406430,32.4,35.504628,35.5,jos.19.22
Beth-shemesh@Jos.19.38,H1053I,,,33.146864,33.1,35.427134,35.4,jos.19.38
Beth-shittah@Jdg.7.22,H1029,,,32.552496,32.5,35.438257,35.4,jdg.7.22
Beth-tappuah@Jos.15.53,H1054,,,31.529730,31.5,35.050377,35.0,jos.15.53
Beth-togarmah@Ezk.27.14,H8425H,,,40.065539,40.0,45.036328,45.0,ezk.27.14
Bethuel@1Ch.4.30,H1328B,,,32.049953,32.0,35.733402,35.7,1ch.4.30
Bethul@Jos.19.4,H1329,,,32.049953,32.0,35.733402,35.7,jos.19.4
Beth-zur@Jos.15.58,H1049,,,31.596107,31.5,35.102620,35.1,jos.15.58
Betonim@Jos.13.26,H0993,,,32.010500,32.0,35.706297,35.7,jos.13.26
Bezek@Jdg.1.4,H0966G,,,31.898029,31.8,34.952878,34.9,jdg.1.4
Bezek@1Sa.11.8,H0966H,,,32.3667,32.3,35.4,35.4,1sa.11.8
Bezer@Deu.4.43,H1221G,,,32.51613740944529,32.5,36.48829075785014,36.4,deu.4.43
Bilhah@1Ch.4.29,H1090B,,,31.24495217357714,31.2,34.8408885849849,34.8,1ch.4.29
Bithron@2Sa.2.29,H1338,Word sometimes translated as a place,,0,,14z,,2sa.2.29
Bithynia@Act.16.7,G0978,,,40.905503,40.9,30.685778,30.6,act.16.7
Biziothiah@Jos.15.28,H0964,,,31.24495217357714,31.2,34.8408885849849,34.8,jos.15.28
Bor-ashan@1Sa.30.30,H3565,,,31.8099,31.8,34.9365,34.9,1sa.30.30
Bozez@1Sa.14.4,H0949,,,31.85716450320853,31.8,35.28714718824809,35.2,1sa.14.4
Bozkath@Jos.15.39,H1218,,,31.56485056116292,31.5,34.8467256730566,34.8,jos.15.39
Bozrah@Gen.36.33,H1224G,,,30.734691,30.7,35.606250,35.6,gen.36.33
Broad_Wall@Neh.3.8,H7342G,,,31.777444,31.7,35.234935,35.2,neh.3.8
Brook_of_Egypt@Num.34.5,H7883G,,,31.032047,31.0,33.854957,33.8,num.34.5
Brook_of_the_Arabah@Amo.6.14,H5158K,,,35.136204,35.1,36.749488,36.7,amo.6.14
Brook_of_the_Willows@Isa.15.7,H5158G,,,32.309099,32.3,35.559900,35.5,isa.15.7
Buz@Jer.25.23,H0938I,,,26.625139,26.6,37.919663,37.9,jer.25.23
Cabbon@Jos.15.40,H3522,,,31.5,31.5,34.7667,34.7,jos.15.40
Cabul@Jos.19.27,H3521G,,,32.865661,32.8,35.211814,35.2,jos.19.27
Cabul@1Ki.9.13,H3521H,,,32.865661,32.8,35.211814,35.2,1ki.9.13
Caesarea@Act.8.40,G2542H,,,32.499544608298,32.4,34.89218497556097,34.8,act.8.40
Caesarea_Philippi@Mat.16.13,G2542G,,,33.2480599128704,33.2,35.69463725353769,35.6,mat.16.13
Calah@Gen.10.11,H3625,,,36.142884,36.1,43.312178,43.3,gen.10.11
Caleb_Ephrathah@1Ch.2.24,H3613,,,0,,14z,,1ch.2.24
Calneh@Gen.10.10,H3641A,,,32.127213,32.1,45.229995,45.2,gen.10.10
Cana@Jos.19.28,H7071H,,,32.74701517958585,32.7,35.33877162058164,35.3,jos.19.28
Canaan@Gen.10.18,H3667A,Canaan@Gen.9.18,,31.69352950368834,31.6,34.84388288576839,34.8,gen.10.18
Capernaum@Mat.4.13,G2584,,,32.88059412581622,32.8,35.57515767479308,35.5,mat.4.13
Cappadocia@Act.2.9,G2587,,,36.731904,36.7,35.486302,35.4,act.2.9
Carchemish@2Ch.35.20,H3751,,,36.82928161099629,36.8,38.01576051001015,38.0,2ch.35.20
Carmel@Jos.12.22,H3760G,,,31.43333151674604,31.4,35.13333188530802,35.1,jos.12.22
Carmel_Mount@1Ki.18.19,H3760H,,,32.729350157734,32.7,35.04978957235391,35.0,1ki.18.19
Casiphia@Ezr.8.17,H3703,,,35.136204,35.1,36.749488,36.7,ezr.8.17
Cauda@Act.27.16,G2802,,,34.843510,34.8,24.091671,24.0,act.27.16
Cenchreae@Act.18.18,G2747,,,37.88460365000972,37.8,22.9933595701051,22.9,act.18.18
Chaldea@Gen.11.28,H3778,,,30.9620520474569,30.9,46.10374195774169,46.1,gen.11.28
