unique_name,qualifer,significance,estrong,dstrong,original,esv_name
Beten@Jos.19.25,,- Named,H0991,H0991,בֶּ֫טֶן,Beten
Beth-anath@Jos.19.38,,- Named,H1043,H1043,בֵּית־עֲנָת,Beth-anath (NIV= Beth Anath)
Beth-anoth@Jos.15.59,,- Named,H1042,H1042,בֵּית־עֲנוֹת,Beth-anoth (NIV= Beth Anoth)
Bethany@Mat.21.17,,- Named,G0963,G0963,Βηθανία,Bethany
Bethany@Jdg.7.24,Beth-barah,- Named,H1012,H1012,בֵּית בָּרָה,Beth-barah (NIV= Beth Barah)
Bethany@Jdg.7.24,Bethabara,Greek,G0962,G0962,"Βηθαβαρά,Βηθανία",Bethany
Beth-arabah@Jos.15.6,,- Named,H1026,H1026,בֵּית הָֽעֲרָבָה,Beth-arabah (NIV= Beth Arabah)
Beth-arabah@Jos.15.6,,- Spelled,H6160J,H6160,עֲרָבָה,Beth-arabah (NIV= Beth Arabah)
Beth-arabah@Jos.15.6,Arbathite,- Group,H6164,H6164,עַרְבָתִי,Arbathite
Beth-arbel@Hos.10.14,,- Named,H1009,H1009,בֵּית אַֽרְבֵֿאל,Beth-arbel (NIV= Beth Arbel)
Beth-ashbea@1Ch.4.21,," - Name Combined",H1004G,,H1004b,Beth/-ashbea (KJV= house of Ashbea)
Beth-Ashtoreth@1Ki.11.5,,- Named,H1045,H1045,בֵּית עַשְׁתָּרוֹת,temple of Ashtoroth (KJV= house of Ashtoroth; NIV= temple of the Ashoreths)
Beth-aven@Jos.7.2,,- Named,H1007,H1007,בֵּית אָ֫וֶן,Beth-aven (NIV= Beth Aven)
Beth-azmaveth@Ezr.2.24,,- Named,H1041,H1041,בֵּית־עַזְמָ֫וֶת,Beth-azmaveth (NIV= Beth Azmaveth)
Beth-azmaveth@Ezr.2.24,Azmaveth,- Named,H5820K,H5820,עַזְמָ֫וֶת,Azmaveth
Beth-biri@1Ch.4.31,,- Named,H1011,H1011,בֵּית בִּרְאִי,Beth-biri (NIV= Beth Biri)
Beth-car@1Sa.7.11,,- Named,H1033,H1033,בֵּית כָּ֑ר,Beth-car (NIV= Beth Kar)
